source_ip,destination_ip,source_port,destination_port,protocol,packet_size,duration,failed_login_attempts,login_success,country,timestamp,attack_type,label
148.102.16.126,172.16.66.242,41979,53,DNS,660,1.144,0,1,India,30-01-2025 06:47,Normal,0
118.141.47.82,172.16.253.71,22471,443,TCP,1461,0.000697,0,0,Russia,16-01-2025 10:44,DDoS,1
152.81.71.78,10.0.11.195,21853,22,HTTP,927,4.576,0,1,United States,20-01-2025 11:19,Normal,0
165.124.221.170,172.16.75.138,1189,53,TCP,737,1.508,0,1,United States,08-01-2025 18:06,Normal,0
194.93.218.81,192.168.41.167,18891,443,HTTPS,581,3.456,0,1,Nigeria,13-01-2025 14:09,Normal,0
238.237.72.87,192.168.205.170,7637,80,HTTPS,385,4.237,0,1,United Kingdom,19-01-2025 01:43,Normal,0
20.35.46.192,192.168.154.98,51112,80,TCP,406,0.502,0,1,United States,30-01-2025 02:04,Normal,0
9.227.220.226,192.168.164.178,16381,4444,TCP,781,18101.4,0,1,Russia,08-01-2025 14:31,Malware,1
98.196.79.49,172.16.45.244,40080,4444,TCP,960,19635,0,1,South Korea,22-01-2025 10:08,Malware,1
207.58.202.119,172.16.219.243,28952,22,TCP,665,3.86,0,1,United States,15-01-2025 01:29,Normal,0
163.207.234.149,192.168.129.14,62350,80,TCP,1479,0.000427,0,0,France,17-01-2025 20:16,DDoS,1
101.41.254.29,192.168.214.123,49726,443,HTTPS,510,1.894,0,1,United States,20-01-2025 22:41,Normal,0
119.104.179.80,192.168.211.160,65098,53,HTTPS,620,3.057,0,1,United Kingdom,20-01-2025 07:22,Normal,0
212.222.55.121,192.168.27.180,29312,443,HTTPS,715,3.692,0,1,Germany,04-01-2025 00:56,Normal,0
65.240.70.24,10.0.246.227,33757,22,TCP,303,4.106,0,1,United States,17-01-2025 06:59,Normal,0
192.9.136.206,192.168.141.232,20346,22,SSH,60,0.107,113,0,United States,01-01-2025 11:13,Brute Force,1
73.185.223.216,192.168.237.196,46357,22,TCP,782,2.759,0,1,Canada,30-01-2025 10:00,Normal,0
174.127.4.147,192.168.178.165,23669,4444,TCP,675,11868.55,0,1,China,29-01-2025 08:25,Malware,1
17.227.88.38,10.0.218.121,55988,80,TCP,1468,0.000617,0,0,Ukraine,27-01-2025 02:45,DDoS,1
112.195.252.142,172.16.23.120,1228,443,TCP,642,2.013,0,1,United States,05-01-2025 15:55,Normal,0
203.177.39.35,172.16.56.155,37341,22,HTTP,429,2.077,0,1,United States,09-01-2025 11:31,Normal,0
122.75.191.48,192.168.36.65,7040,22,SSH,77,0.268,166,0,Nigeria,02-01-2025 08:22,Brute Force,1
244.175.67.49,192.168.71.253,22174,22,TCP,381,0.674,0,1,Germany,05-01-2025 13:27,Normal,0
185.133.182.206,10.0.81.190,15863,22,HTTPS,702,3.277,0,1,Germany,12-01-2025 17:56,Normal,0
94.78.59.180,10.0.243.99,35634,80,HTTPS,722,1.218,0,1,China,17-01-2025 02:50,Normal,0
7.127.58.214,172.16.112.63,58376,443,HTTPS,312,1.836,0,1,China,14-01-2025 06:59,Normal,0
207.190.174.248,172.16.206.123,39841,80,HTTPS,973,1.069,0,1,United States,17-01-2025 18:09,Normal,0
111.113.205.207,172.16.170.125,25495,53,DNS,306,3.801,0,1,India,13-01-2025 07:10,Normal,0
17.8.217.69,192.168.152.104,14232,80,HTTP,910,2.437,0,1,India,13-01-2025 21:04,Normal,0
210.29.66.174,172.16.137.32,56127,55353,TCP,40,0.0001,0,0,Russia,01-01-2025 07:47,Port Scan,1
226.197.126.159,192.168.51.170,24903,53,TCP,970,0.782,0,1,Russia,04-01-2025 09:20,Normal,0
62.1.147.81,172.16.205.216,32049,22,SSH,43,0.362,326,0,Russia,20-01-2025 22:35,Brute Force,1
45.28.117.203,172.16.154.220,1050,443,HTTPS,897,85.961,8,0,United Kingdom,04-01-2025 18:59,Phishing,1
191.198.223.251,10.0.141.52,56249,53,HTTP,793,4.956,0,1,Russia,08-01-2025 08:28,Normal,0
152.149.171.137,172.16.7.49,46506,22,TCP,343,0.615,0,1,China,16-01-2025 08:18,Normal,0
167.220.86.100,192.168.12.50,14675,22,HTTPS,898,0.643,0,1,United States,11-01-2025 16:14,Normal,0
69.136.26.221,172.16.164.112,9787,51300,TCP,40,0.0001,0,0,Japan,20-01-2025 20:38,Port Scan,1
236.194.74.69,172.16.11.77,45766,443,HTTPS,1490,90.66,9,0,Nigeria,21-01-2025 20:15,Phishing,1
138.227.39.226,172.16.216.135,38933,443,TCP,1499,0.00023,0,0,Brazil,07-01-2025 12:16,DDoS,1
109.36.182.87,192.168.249.132,60377,443,HTTPS,665,42.738,10,0,Russia,19-01-2025 10:00,Phishing,1
208.31.73.160,10.0.79.68,39967,443,HTTPS,431,1.606,0,1,United Kingdom,17-01-2025 01:39,Normal,0
37.217.130.209,172.16.223.232,27860,443,DNS,565,1.372,0,1,Brazil,09-01-2025 12:55,Normal,0
1.114.165.75,10.0.41.96,57607,22,SSH,56,0.21,126,0,United States,24-01-2025 15:46,Brute Force,1
27.2.61.203,172.16.132.185,58340,22,SSH,62,0.482,469,0,Russia,14-01-2025 15:11,Brute Force,1
35.248.56.71,192.168.1.167,14799,22,SSH,93,0.378,311,0,Nigeria,20-01-2025 03:52,Brute Force,1
80.203.188.213,10.0.1.243,63470,443,TCP,764,3.334,0,1,Russia,28-01-2025 02:24,Normal,0
223.142.127.201,172.16.17.111,62707,80,TCP,1492,0.000169,0,0,Ukraine,05-01-2025 22:28,DDoS,1
14.191.59.58,10.0.88.134,59292,4444,TCP,532,10968.81,0,1,India,08-01-2025 07:22,Malware,1
15.216.21.153,192.168.216.233,55527,22,HTTPS,649,4.262,0,1,Russia,17-01-2025 00:15,Normal,0
119.133.173.98,10.0.248.65,58374,22,HTTPS,731,4.166,0,1,France,02-01-2025 01:04,Normal,0
74.179.137.125,10.0.228.122,9902,22,SSH,55,0.415,230,0,China,15-01-2025 03:15,Brute Force,1
30.19.204.183,172.16.179.96,4769,13800,TCP,40,0.0001,0,0,South Korea,03-01-2025 22:44,Port Scan,1
92.7.131.192,10.0.80.149,64700,22,SSH,86,0.237,354,0,France,09-01-2025 22:26,Brute Force,1
40.90.138.39,172.16.92.99,10311,22,HTTPS,642,4.055,0,1,Iran,11-01-2025 06:40,Normal,0
27.133.100.100,10.0.177.204,59976,53,TCP,466,3.679,0,1,China,23-01-2025 07:45,Normal,0
7.220.182.52,192.168.195.15,59824,53,TCP,904,2.961,0,1,China,06-01-2025 10:32,Normal,0
170.2.251.12,172.16.244.31,24668,80,HTTPS,457,0.623,0,1,France,04-01-2025 22:29,Normal,0
116.202.149.190,192.168.158.41,14339,80,TCP,1451,0.000183,0,0,Germany,09-01-2025 15:05,DDoS,1
241.82.139.222,172.16.57.187,62137,53,DNS,688,2.31,0,1,India,01-01-2025 07:58,Normal,0
17.191.38.93,172.16.226.11,4368,80,TCP,511,1.196,0,1,China,13-01-2025 19:10,Normal,0
67.81.88.77,192.168.237.35,19264,22,HTTP,507,4.063,0,1,China,27-01-2025 09:38,Normal,0
64.252.126.56,10.0.104.172,43020,443,TCP,1471,0.000968,0,0,China,16-01-2025 10:48,DDoS,1
233.144.163.209,192.168.200.184,46743,443,HTTP,676,2.613,0,1,United States,15-01-2025 03:58,Normal,0
118.93.205.78,192.168.154.224,61206,53,HTTPS,546,2.737,0,1,Germany,28-01-2025 23:44,Normal,0
122.194.182.5,10.0.115.203,25682,80,TCP,1455,0.00072,0,0,China,05-01-2025 06:55,DDoS,1
87.191.254.130,172.16.251.27,12173,4444,TCP,827,12096.61,0,1,Japan,06-01-2025 01:04,Malware,1
73.87.154.204,192.168.181.178,8879,80,TCP,1472,0.000112,0,0,Iran,04-01-2025 05:59,DDoS,1
149.83.181.67,192.168.227.108,33556,13273,TCP,40,0.0001,0,0,China,22-01-2025 16:21,Port Scan,1
13.222.72.175,172.16.191.111,39215,22,DNS,595,3.308,0,1,China,29-01-2025 11:59,Normal,0
214.171.92.170,10.0.77.114,17065,23699,TCP,40,0.0001,0,0,India,13-01-2025 17:18,Port Scan,1
247.155.240.116,172.16.31.111,39217,4444,TCP,644,15133.78,0,1,United States,15-01-2025 15:53,Malware,1
46.18.185.1,172.16.112.178,10360,443,HTTPS,1005,52.995,8,0,India,08-01-2025 16:58,Phishing,1
142.149.195.22,10.0.38.85,43203,4444,TCP,843,15919.89,0,1,Iran,04-01-2025 06:26,Malware,1
22.69.40.98,172.16.78.190,26558,80,TCP,305,4.743,0,1,China,04-01-2025 13:38,Normal,0
88.107.131.87,10.0.204.83,55371,47139,TCP,40,0.0001,0,0,Russia,20-01-2025 06:58,Port Scan,1
230.201.132.168,192.168.236.23,2939,22,HTTPS,785,1.089,0,1,China,20-01-2025 02:38,Normal,0
28.55.140.75,172.16.104.56,9399,443,HTTPS,338,4.478,0,1,United States,09-01-2025 02:11,Normal,0
185.77.176.61,172.16.194.153,12673,80,TCP,507,1.441,0,1,United Kingdom,08-01-2025 22:55,Normal,0
227.132.107.218,10.0.133.158,16691,53,TCP,984,3.588,0,1,United States,07-01-2025 03:56,Normal,0
232.93.164.108,10.0.195.231,10078,53,DNS,749,1.329,0,1,United Kingdom,29-01-2025 18:08,Normal,0
234.207.163.14,10.0.201.117,40771,22,SSH,56,0.489,383,0,China,11-01-2025 15:09,Brute Force,1
222.65.211.123,10.0.161.251,8926,443,HTTPS,924,95.456,5,0,Russia,26-01-2025 16:08,Phishing,1
139.21.53.62,10.0.255.134,64963,443,HTTP,590,4.683,0,1,South Korea,14-01-2025 14:54,Normal,0
244.40.186.254,192.168.217.108,61546,24058,TCP,40,0.0001,0,0,Russia,30-01-2025 14:10,Port Scan,1
166.52.46.142,192.168.196.170,13541,25566,TCP,40,0.0001,0,0,China,15-01-2025 01:49,Port Scan,1
99.62.74.146,10.0.70.169,62931,22,SSH,59,0.34,398,0,United States,24-01-2025 04:56,Brute Force,1
240.186.75.156,172.16.22.67,57559,80,TCP,1477,0.000599,0,0,Ukraine,19-01-2025 06:24,DDoS,1
154.50.141.165,192.168.210.29,36379,443,HTTPS,682,63.208,9,0,Iran,19-01-2025 06:17,Phishing,1
207.25.94.31,10.0.214.150,23182,443,TCP,848,0.944,0,1,China,04-01-2025 19:07,Normal,0
100.203.17.140,10.0.10.46,56560,80,TCP,1484,0.000109,0,0,India,08-01-2025 18:43,DDoS,1
143.164.170.6,10.0.233.206,2378,22,HTTP,515,4.84,0,1,United States,03-01-2025 17:01,Normal,0
50.72.46.149,172.16.83.209,33451,53,DNS,327,3.312,0,1,United States,13-01-2025 11:48,Normal,0
70.213.180.31,172.16.105.156,42931,443,TCP,626,3.222,0,1,Japan,01-01-2025 03:18,Normal,0
192.76.39.2,10.0.60.198,3401,54766,TCP,40,0.0001,0,0,Ukraine,27-01-2025 13:15,Port Scan,1
190.107.206.114,10.0.83.207,48734,22,SSH,67,0.391,312,0,Canada,22-01-2025 13:33,Brute Force,1
60.164.250.78,172.16.136.92,28965,443,TCP,1476,0.000979,0,0,Germany,07-01-2025 21:35,DDoS,1
190.152.192.73,10.0.26.188,55429,443,HTTPS,561,64.277,7,0,United States,05-01-2025 11:50,Phishing,1
110.168.24.181,192.168.0.55,32272,22,SSH,77,0.19,448,0,United States,12-01-2025 08:47,Brute Force,1
31.115.246.118,172.16.178.163,62375,21,FTP,315690,954.54,0,1,India,12-01-2025 14:27,Data Exfiltration,1
11.120.174.87,10.0.43.19,59706,4444,TCP,597,11541.44,0,1,Brazil,28-01-2025 19:27,Malware,1
160.78.78.130,10.0.244.93,39800,443,TCP,1493,0.000103,0,0,Nigeria,17-01-2025 10:17,DDoS,1
166.136.226.216,172.16.43.115,40934,80,TCP,896,4.198,0,1,China,06-01-2025 19:53,Normal,0
124.171.176.215,10.0.240.227,57079,22,DNS,542,3.836,0,1,China,24-01-2025 13:20,Normal,0
230.76.49.10,192.168.108.61,44129,443,HTTPS,685,4.74,0,1,United States,04-01-2025 14:23,Normal,0
62.123.110.62,172.16.158.92,63520,22,SSH,49,0.257,393,0,Nigeria,02-01-2025 08:52,Brute Force,1
129.3.113.208,192.168.141.39,63345,443,TCP,1465,0.000116,0,0,United States,25-01-2025 14:35,DDoS,1
197.235.113.201,172.16.215.201,48852,22,SSH,50,0.437,378,0,United States,05-01-2025 10:25,Brute Force,1
219.73.174.213,192.168.79.6,58472,21,FTP,359446,846.34,0,1,China,19-01-2025 19:16,Data Exfiltration,1
199.61.9.88,10.0.189.199,52972,21347,TCP,40,0.0001,0,0,Japan,30-01-2025 05:50,Port Scan,1
5.39.13.249,172.16.11.48,64746,443,TCP,1458,0.000744,0,0,United States,16-01-2025 13:34,DDoS,1
171.97.80.156,10.0.38.219,63060,21,FTP,334085,540.97,0,1,United States,07-01-2025 02:11,Data Exfiltration,1
27.58.88.70,172.16.249.80,7265,53,HTTP,778,1.463,0,1,Russia,13-01-2025 08:35,Normal,0
72.222.92.119,10.0.219.45,45274,4444,TCP,569,13881.24,0,1,Russia,15-01-2025 15:13,Malware,1
223.245.81.8,10.0.178.224,44206,21,FTP,130662,839.71,0,1,China,29-01-2025 16:14,Data Exfiltration,1
29.85.182.236,172.16.34.151,38472,80,HTTP,750,4.725,0,1,United States,12-01-2025 04:47,Normal,0
151.133.31.134,172.16.67.177,24101,443,HTTPS,969,57.575,8,0,China,14-01-2025 02:18,Phishing,1
228.238.238.149,10.0.231.210,56743,22,SSH,54,0.378,234,0,South Korea,21-01-2025 10:53,Brute Force,1
155.148.33.131,192.168.207.210,47834,53,TCP,609,2.897,0,1,Ukraine,17-01-2025 22:09,Normal,0
149.224.93.54,172.16.13.5,24716,22,HTTPS,656,2.584,0,1,United Kingdom,14-01-2025 13:25,Normal,0
149.62.201.66,10.0.204.95,61769,4444,TCP,678,11968.13,0,1,Iran,04-01-2025 14:22,Malware,1
120.134.135.136,172.16.187.160,58859,80,TCP,1474,0.000154,0,0,Ukraine,11-01-2025 12:03,DDoS,1
193.154.217.129,192.168.124.108,43391,22,SSH,75,0.176,365,0,United States,10-01-2025 17:34,Brute Force,1
131.155.112.153,172.16.102.143,57479,22,DNS,522,2.385,0,1,United Kingdom,15-01-2025 04:40,Normal,0
29.63.174.233,10.0.176.19,61887,53,TCP,364,2.327,0,1,Japan,17-01-2025 08:01,Normal,0
21.170.224.100,192.168.223.180,5672,80,TCP,1454,0.0006,0,0,United States,01-01-2025 21:09,DDoS,1
30.24.189.236,192.168.96.116,31060,53,TCP,325,1.069,0,1,China,24-01-2025 15:28,Normal,0
16.8.58.144,172.16.93.119,54220,41002,TCP,40,0.0001,0,0,Germany,16-01-2025 08:40,Port Scan,1
112.100.83.139,10.0.147.246,64440,21,FTP,473032,877.62,0,1,Canada,01-01-2025 05:12,Data Exfiltration,1
53.11.229.170,172.16.30.3,8326,4444,TCP,819,17195.72,0,1,China,21-01-2025 13:08,Malware,1
63.76.56.147,172.16.39.141,53976,22,SSH,44,0.416,210,0,China,20-01-2025 08:32,Brute Force,1
7.241.231.26,192.168.150.9,5690,443,HTTP,666,2.788,0,1,United States,02-01-2025 00:02,Normal,0
149.208.200.61,172.16.217.114,27356,53,HTTPS,738,2.691,0,1,United Kingdom,18-01-2025 17:26,Normal,0
149.243.68.101,10.0.73.53,3362,443,HTTP,515,2.254,0,1,China,19-01-2025 13:14,Normal,0
9.25.38.217,192.168.248.247,42193,443,TCP,1485,0.0006,0,0,India,20-01-2025 01:12,DDoS,1
181.164.36.106,172.16.171.183,38209,22,DNS,884,1.008,0,1,Nigeria,16-01-2025 11:08,Normal,0
98.27.111.77,172.16.156.126,9184,22,DNS,375,2.881,0,1,Russia,12-01-2025 11:03,Normal,0
226.6.211.133,10.0.178.101,48225,35830,TCP,40,0.0001,0,0,Russia,27-01-2025 00:57,Port Scan,1
50.206.175.16,10.0.229.156,21224,22,TCP,471,0.62,0,1,United States,10-01-2025 19:03,Normal,0
163.199.149.55,192.168.82.61,21238,443,DNS,817,4.945,0,1,India,02-01-2025 00:59,Normal,0
222.165.161.74,192.168.108.221,62384,53,DNS,527,0.67,0,1,China,04-01-2025 04:38,Normal,0
9.122.220.183,192.168.53.230,45896,22,SSH,90,0.302,438,0,Germany,11-01-2025 10:00,Brute Force,1
33.141.57.57,10.0.8.181,29873,22,SSH,43,0.114,131,0,India,04-01-2025 01:58,Brute Force,1
148.155.163.96,172.16.137.8,54554,443,TCP,1453,0.000521,0,0,China,04-01-2025 11:10,DDoS,1
235.137.39.128,172.16.191.145,63336,80,TCP,1456,0.000554,0,0,United States,19-01-2025 07:12,DDoS,1
246.210.44.53,192.168.230.213,22464,5736,TCP,40,0.0001,0,0,China,17-01-2025 12:30,Port Scan,1
111.75.35.124,192.168.91.149,20677,4444,TCP,704,15153.96,0,1,Iran,03-01-2025 08:49,Malware,1
35.169.33.206,10.0.136.175,52556,22,SSH,47,0.188,421,0,Nigeria,26-01-2025 17:45,Brute Force,1
24.205.73.18,10.0.3.124,55025,80,TCP,1465,0.000459,0,0,United States,13-01-2025 21:33,DDoS,1
106.88.48.193,192.168.7.192,9131,22,SSH,96,0.134,375,0,Brazil,13-01-2025 10:56,Brute Force,1
147.66.146.239,172.16.255.70,18935,80,HTTPS,636,2.635,0,1,Iran,22-01-2025 15:08,Normal,0
51.12.203.53,192.168.190.189,37294,80,TCP,1486,0.000587,0,0,United States,08-01-2025 03:27,DDoS,1
193.4.222.131,192.168.114.242,35245,22,SSH,93,0.398,277,0,Japan,30-01-2025 13:30,Brute Force,1
195.100.164.217,10.0.159.113,23624,22,DNS,508,1.965,0,1,United States,04-01-2025 04:09,Normal,0
195.129.214.28,10.0.220.104,36904,60073,TCP,40,0.0001,0,0,China,19-01-2025 16:34,Port Scan,1
148.95.27.248,172.16.82.25,64194,53,DNS,514,2.202,0,1,Japan,27-01-2025 23:37,Normal,0
243.166.89.141,192.168.61.59,43884,4444,TCP,641,12191.43,0,1,China,08-01-2025 08:32,Malware,1
106.208.157.102,10.0.120.30,52764,1794,TCP,40,0.0001,0,0,China,06-01-2025 20:26,Port Scan,1
69.248.203.13,192.168.203.197,49633,32951,TCP,40,0.0001,0,0,Brazil,27-01-2025 07:44,Port Scan,1
160.66.68.45,192.168.161.253,30401,80,HTTPS,778,3.001,0,1,United Kingdom,19-01-2025 09:01,Normal,0
58.192.164.123,192.168.234.131,23625,22,SSH,99,0.145,467,0,United States,03-01-2025 23:03,Brute Force,1
192.24.163.210,10.0.186.177,17637,22,SSH,52,0.121,200,0,South Korea,16-01-2025 02:14,Brute Force,1
171.38.136.173,192.168.180.31,41866,22,SSH,74,0.36,192,0,Brazil,17-01-2025 16:10,Brute Force,1
67.245.11.15,172.16.176.55,60622,22,SSH,49,0.309,372,0,Russia,26-01-2025 21:13,Brute Force,1
197.113.159.199,172.16.14.58,24215,443,HTTPS,851,34.814,8,0,United States,25-01-2025 09:50,Phishing,1
150.224.15.249,172.16.43.247,3951,53,HTTP,751,1.025,0,1,Japan,27-01-2025 13:39,Normal,0
239.107.196.224,192.168.125.205,44852,53,DNS,357,2.355,0,1,France,19-01-2025 19:51,Normal,0
5.191.156.196,192.168.221.248,65219,22,HTTPS,911,4.806,0,1,France,05-01-2025 09:50,Normal,0
122.52.71.224,10.0.14.68,59429,443,HTTPS,560,51.102,9,0,United States,14-01-2025 17:36,Phishing,1
232.216.8.84,192.168.176.183,8580,22,SSH,53,0.216,108,0,China,10-01-2025 21:52,Brute Force,1
237.196.101.112,172.16.162.171,16315,22,HTTPS,949,4.463,0,1,China,14-01-2025 03:29,Normal,0
16.11.4.150,10.0.0.152,64258,80,TCP,1492,0.000487,0,0,Ukraine,06-01-2025 03:09,DDoS,1
110.199.15.192,172.16.152.147,59501,443,HTTPS,375,1.969,0,1,France,19-01-2025 06:26,Normal,0
84.38.5.113,192.168.95.247,40464,22,HTTP,326,4.618,0,1,Germany,18-01-2025 15:49,Normal,0
2.48.39.12,10.0.48.172,39365,443,HTTPS,1090,51.542,6,0,United States,18-01-2025 09:26,Phishing,1
103.105.218.24,10.0.6.131,48047,4444,TCP,707,17961.56,0,1,Germany,21-01-2025 07:09,Malware,1
187.220.125.190,172.16.52.141,4251,80,TCP,1470,0.000753,0,0,United States,21-01-2025 13:15,DDoS,1
